year,date_raw,date,list_location,list_fish_text,report_url,repo_id
2024,10月7日,2024-10-07,伊豆南地磯,ヘダイ、メイチダイ、シマアジ、シブダイ、メジナ、イサキ、ブダイ、エイ、ベラ、クサフグ,https://portside-t.com/iso/iso_repo460.htm,iso_repo460
2024,8月3日,2024-08-03,伊豆南地磯,シブダイ、イサキ、ハタンポ,https://portside-t.com/iso/iso_repo459.htm,iso_repo459
2024,6月29日,2024-06-29,伊豆南地磯,メイチダイ、シブダイ、マダイ、イサキ,https://portside-t.com/iso/iso_repo458.htm,iso_repo458
2023,9月30日,2023-09-30,伊豆南地磯,ワカシ、シマアジ、シブダイ、アカメフグ、ベラ、ハタンポ,https://portside-t.com/iso/iso_repo438.htm,iso_repo438
2023,8月17日,2023-08-17,伊豆南堤防,メジナ、クロダイ、シブダイ、メイチダイ、イサキ、ウツボ、エイ、クサフグ,https://portside-t.com/iso/iso_repo437.htm,iso_repo437
2023,7月15日,2023-07-15,伊豆南堤防,メジナ、シマアジ、シブダイ(フエダイ)、ウツボ、ショウサイフグ、クサフグ,https://portside-t.com/iso/iso_repo436.htm,iso_repo436
2023,7月2日,2023-07-02,伊豆南地磯,メジナ、カマス、フエフキダイ、アイゴ、タカノハダイ、イサキ、シブダイ(フエダイ)、ムラソイ、ショウサイフグ、クサフグ,https://portside-t.com/iso/iso_repo435.htm,iso_repo435
2023,6月21日,2023-06-21,伊豆南地磯,フエフキダイ、イサキ、フエダイ、タカノハダイ、 ショウサイフグ、クサフグ,https://portside-t.com/iso/iso_repo434.htm,iso_repo434
2022,6月4日,2022-06-04,南伊豆地磯,イサキ、フエフキダイ、フエダイ、ソイ、ブダイ、サバ、エイ、ハタンポ、クサフグ,https://portside-t.com/iso/iso_repo405.htm,iso_repo405
2021,12月22日,2021-12-22,南伊豆地磯,メジナ、イスズミ、フエダイ、カサゴ、タカノハダイ、シュウサイフグ,https://portside-t.com/iso/iso_repo393.htm,iso_repo393
2015,7月29日,2015-07-29,南伊豆地磯・堤防,メジナ、イサキ、フエダイ、へダイ、サンノジ、ショウサイフグ,https://portside-t.com/iso/iso_repo299.htm,iso_repo299
